1:52:59 PM  [main] 	Initializing Control Panel
1:52:59 PM  [main] 	Windows Version:  Enterprise  64-bit
1:52:59 PM  [main] 	XAMPP Version: 7.4.25
1:52:59 PM  [main] 	Control Panel Version: 3.3.0  [ Compiled: Apr 6th 2021 ]
1:52:59 PM  [main] 	Running with Administrator rights - good!
1:52:59 PM  [main] 	XAMPP Installation Directory: "c:\users\miniluigi\ucfgithubproject\dig4104c-0077-group-8\develop-phase\xampp\"
1:52:59 PM  [main] 	Checking for prerequisites
1:52:59 PM  [main] 	All prerequisites found
1:52:59 PM  [main] 	Initializing Modules
1:52:59 PM  [Apache] 	Problem detected!
1:52:59 PM  [Apache] 	Port 443 in use by ""C:\Program Files (x86)\VMware\VMware Workstation\vmware-hostd.exe" -u "C:\ProgramData\VMware\hostd\config.xml"" with PID 9564!
1:52:59 PM  [Apache] 	Apache WILL NOT start without the configured ports free!
1:52:59 PM  [Apache] 	You need to uninstall/disable/reconfigure the blocking application
1:52:59 PM  [Apache] 	or reconfigure Apache and the Control Panel to listen on a different port
1:52:59 PM  [mysql] 	XAMPP MySQL is already running on port 3306
1:52:59 PM  [filezilla] 	Problem detected!
1:52:59 PM  [filezilla] 	Port 21 in use by ""C:\Program Files\Cerberus LLC\Cerberus FTP Server\CerberusGUI.exe" -Service"!
1:52:59 PM  [filezilla] 	FileZilla WILL NOT start without the configured ports free!
1:52:59 PM  [filezilla] 	You need to uninstall/disable/reconfigure the blocking application
1:52:59 PM  [filezilla] 	or reconfigure FileZilla and the Control Panel to listen on a different port
1:52:59 PM  [main] 	Starting Check-Timer
1:52:59 PM  [main] 	Control Panel Ready
1:53:02 PM  [Apache] 	Problem detected!
1:53:02 PM  [Apache] 	Port 443 in use by ""C:\Program Files (x86)\VMware\VMware Workstation\vmware-hostd.exe" -u "C:\ProgramData\VMware\hostd\config.xml"" with PID 9564!
1:53:02 PM  [Apache] 	Apache WILL NOT start without the configured ports free!
1:53:02 PM  [Apache] 	You need to uninstall/disable/reconfigure the blocking application
1:53:02 PM  [Apache] 	or reconfigure Apache and the Control Panel to listen on a different port
1:53:02 PM  [Apache] 	Attempting to start Apache app...
1:53:14 PM  [Apache] 	Problem detected!
1:53:14 PM  [Apache] 	Port 443 in use by ""C:\Program Files (x86)\VMware\VMware Workstation\vmware-hostd.exe" -u "C:\ProgramData\VMware\hostd\config.xml"" with PID 9564!
1:53:14 PM  [Apache] 	Apache WILL NOT start without the configured ports free!
1:53:14 PM  [Apache] 	You need to uninstall/disable/reconfigure the blocking application
1:53:14 PM  [Apache] 	or reconfigure Apache and the Control Panel to listen on a different port
1:53:14 PM  [Apache] 	Attempting to start Apache app...
1:53:27 PM  [Apache] 	Problem detected!
1:53:27 PM  [Apache] 	Port 443 in use by ""C:\Program Files (x86)\VMware\VMware Workstation\vmware-hostd.exe" -u "C:\ProgramData\VMware\hostd\config.xml"" with PID 9564!
1:53:27 PM  [Apache] 	Apache WILL NOT start without the configured ports free!
1:53:27 PM  [Apache] 	You need to uninstall/disable/reconfigure the blocking application
1:53:27 PM  [Apache] 	or reconfigure Apache and the Control Panel to listen on a different port
1:53:27 PM  [Apache] 	Attempting to start Apache app...
1:53:27 PM  [Apache] 	Status change detected: running
1:53:28 PM  [Apache] 	Status change detected: stopped
1:53:28 PM  [Apache] 	Error: Apache shutdown unexpectedly.
1:53:28 PM  [Apache] 	This may be due to a blocked port, missing dependencies, 
